Research in water quality,Research
Citizen science project,Training
Capacity building in chinampas sustainable use,Agricultural/ecological training
Difusion proyectos social de Xochimilco,Outreach
Difusion venta de productos Xochimilco,Market
Investigacion tesis doctoral,Education
Diagnostico de proyecto vulnerabilidad social en Xochimilco,Research
Investigacion Xochimilco Ecologia,Research
Busqueda Funding,Funding
Investigacion cambio uso de suelo,Research
Colaboracion en intercambio de informacion,Collaboration
Financial support,Funding
Capacity building in environmental monitoring,Agricultural/ecological training
Capacity building in economic analysis,Financial/commercial training
Mercado Tianquikilitl,Market
Desarrollo de comercalizadora,Market
Punto de acopio,Social organization
Actividades con Claustro de Sor Juana,Education
Turismo,Tourism
Apoyo en practicas agricolas,Agricultural/ecological training
Guided visits,Tourism
Causa change.org,Social organization
Apoyo en todo,Collaboration
Organizacion en casa y trabajo,Management
Apoyo en como dirigirme a los demas,Training
Eventos,Outreach
Trabajo conjunto,Collaboration
Comercializacion,Market
Provision de productos con caracteristicas especificas por peticion,Market
Cooperativa,Social organization
Organizador-moderador de Chinampayolo,Management
Apoyo en organizacion,Management
Genera vinculos (Carlos Sumano Rodolfo Salinas),Networking
Pulir tecnicas de produccion de insumos para produccion,Production
Platicas,Outreach
Sale of agricultural products,Market
Project management in the delegation,Management
Ejecucion de instalaciones sistema de captacion de agua de lluvia,Construction
Apoyo a proyectos,Funding
Co-execution of projects,Construction
Desarrollo de propuesta para cine al aire libre sobre temas de agua,Culture
Desarrollo de propuesta para murales sobre temas de agua,Culture
Negociar y desarrollo de propuestas,Consultancy
Videos sobre proyecto de testimonios de beneficiarios,Outreach
Co-coordinacion de operacion y logistica manejo de beneficiarios,Management
Co-coordinacion de comunicacion y contratos con delegacion,Networking
Apoyo en supervisar instalaciones y capacitacion,Consultancy
Curso asesoria manejo de zona patrimonial,Consultancy
Fauna refugees and ecological restoration,Agricultural/ecological training
Asesoria informal equipo-normatividad,Consultancy
Birds observatory,Ecological conservation
Libro divulgacion Xochimilco,Outreach
Catalogacion de chinamperia,Research
Assistance in ecological information,Agricultural/ecological training
Capacity building in administrating agricultural projects (for Sn Gregorio producers),Financial/commercial training
Asesoria en administracion financiera productos agricolas,Financial/commercial training
Colaboracion academica sobre calidad de agua en Xochimilco como servicio ecosistemico,Research
Colaboracion academica sobre valor economico de servicios ecosistemicos de Xochimilco,Research
Colaboracion academica sobre productores agricolas de San Gregorio y chinampa de Redes,Research
Intercambio de conocimiento y colaboracion academica sobre Xochimilco en general y sus servicios ecosistemicos,Research
Asesoria para venta de productos sobre servicio comercial gastronomia-productos agricolas,Financial/commercial training
Proyectos impacto social (manejo areas naturales protegidas ecoturismo productores),Management
Apoyo para buscar financiamiento para proyectos Xochimilco,Funding
Lleva y vende sus productos,Market
Venta de productos (los lleva un taxi que contrata),Market
Recibe asesoria sobre la siembra,Agricultural/ecological training
Recibe apoyo de asesoria capacitacion (cursos) sobre plaguicidas y pesticidas organicos,Agricultural/ecological training
Le vende sus productos (como intermediaria),Market
Identify and design the Management Area,Management
Estrategica (coordina),Management
Foster collaboration,Collaboration
Strategic collaboration,Collaboration
Fondo de agua,Funding
Da seguimiento a desarrollo de plan y modelo hidrico,Management
Coordina componente social (mapeo e involucramiento de actores locales),Management
Convenio sobre resiliencia (incluye tema agua),Collaboration
Comercio (venta de productos de chinampa),Market
Complaints and requests,Citizen assistance
Apoyo a proyectos agropecuarios (lombricomposta o avena),Funding
Comercio (venta de productos en tiendita),Market
Da paseos a visitas extranjeras,Tourism
Cursos agricultura,Agricultural/ecological training
Apoyo a tesis (tecnicas de produccion),Education
Apoyo a tesis (administracion chinampa),Education
Venta de productos organicos,Market
Reunion una vez al mes de todas las autoridades y productores,Social organization
Solicitar que arreglen drenaje,Citizen assistance
Desarrollo de proyectos,Research
Solicitar programas APASO (dinero para jornaleros) y FOCORE (para herramienta),Funding
Solicitar opinion de uso de suelo (ANP evalua viabilidad del proyecto),Consultancy
Desarrollo de proyectos (en concurrencia con SAGARPA SEDEREC y productores) sobre conservacion de la zona chinampera,Management
Venta de productos (despensas),Market
Chinampas agricultural production,Production
Venta de productos selectivos a restaurantes,Market
Representante,Social organization
Apoya proyectos (asesoria e implementacion) sobre limpieza de canales reforestacion chaponeo corta de muerdago rehabilitacion de embarcadero,Training
Vigilancia (por roles) de anti-robo en chinampas,Social organization
Compra de ciertos productos,Market
Develop projects for construction and maintenance of green areas,Construction
Desarrollo de proyectos sobre construccion de areas verdes y asesoria en mantenimiento (clientes a nivel particular),Construction
Venta y compra de plantas de viveros,Market
Donacion de plantas (ej nochebuenas) y dinero,Funding
Faenas vecinales para limpieza y mantenimiento de canales y banquetas,Social organization
Coordina practicas en hortalizas,Agricultural/ecological training
Coordination of guided visits for students (vegetation & chinampas production),Education
Desarrollo de proyectos de áreas verdes,Construction
Asesoria desarrollo urbano,Consultancy
Asesoria en agua de canales,Consultancy
Interlocutor en Promocion de acuerdo con IPN para limpiar agua,Management
Asesoria en participacion ciudadana programa general y delegacional de cambio de uso de suelo,Consultancy
Asesoria en desarrollo urbano asentamientos humanos vivienda,Consultancy
Seguimiento tesis de maestria en evaluacion y elaboracion de indicadores,Education
Asesoria neoinstitucionalismo politica publica entramado social con organizaciones,Legal training
Assistance in legal framework of urban development in housing,Legal training
Contact of institutional actors for management,Management
Asesoria en participacion ciudadana vivienda mejora barrial desarrollo social,Consultancy
Consultas al Centro Documental,Consultancy
Diseno proyecto Comite Tecnico para crecimiento sustentable de Xochimilco con mitigacion de impacto ambiental,Management
Recibe informacion sobre procedimientos tecnicos de Comision Regulatoria,Collaboration
Recibe informacion y contactos,Collaboration
Cabildeo,Management
Gestora de denuncias (ej poda de arboles cascajo descarga a canales materiales toxicos deshuesaderos a la orilla),Management
Informacion y contactos,Networking
Gestora (ej participantes en Feria del Libro),Management
La conecta con informantes clave de gobierno,Networking
Recibe informacion de dictamenes de desarrollo urbano,Collaboration
